Date,Open,High,Low,Close,Adj Close,Volume
2017-02-22,34.107498,34.279999,34.0275,34.2775,32.217701,83347600
2017-03-01,34.4725,35.037498,34.400002,34.947498,32.847427,145658400
2017-03-02,35.0,35.07,34.689999,34.740002,32.652405,104844000
2017-03-03,34.695,34.9575,34.647499,34.945,32.845066,84432400
2017-03-06,34.842499,34.942501,34.650002,34.834999,32.741688,87000000
2017-03-07,34.764999,34.994999,34.697498,34.880001,32.783981,69785200
2017-03-08,34.737499,34.950001,34.705002,34.75,32.6618,74828800
2017-03-09,34.685001,34.697498,34.262501,34.669998,32.586605,88623600
2017-03-10,34.8125,34.84,34.66,34.785,32.694698,78451200
2017-03-13,34.712502,34.857498,34.705002,34.799999,32.708794,69686800
2017-03-14,34.825001,34.912498,34.709999,34.747501,32.659447,61236400
2017-03-15,34.852501,35.1875,34.7575,35.115002,33.004852,102767200
2017-03-16,35.18,35.255001,35.064999,35.172501,33.058903,76928000
2017-03-17,35.25,35.25,34.9725,34.997501,32.894424,175540000
2017-03-20,35.099998,35.375,35.057499,35.365002,33.239841,86168000
2017-03-21,35.5275,35.700001,34.932499,34.959999,32.859165,158119600
2017-03-22,34.962502,35.400002,34.939999,35.355,33.230446,103440800
2017-03-23,35.314999,35.395,35.1525,35.23,33.112942,81385200
2017-03-24,35.375,35.435001,35.087502,35.16,33.047153,89582400
2017-03-27,34.8475,35.305,34.654999,35.220001,33.103565,94300400
2017-03-28,35.227501,36.009998,35.154999,35.950001,33.789684,133499200
2017-03-29,35.919998,36.122501,35.797501,36.029999,33.864876,116760000
2017-03-30,36.047501,36.125,35.875,35.982498,33.820229,84829200
2017-03-31,35.93,36.067501,35.752499,35.915001,33.756786,78646800
2017-04-03,35.927502,36.029999,35.762501,35.924999,33.766186,79942800
2017-04-04,35.8125,36.2225,35.7925,36.192501,34.017624,79565600
2017-04-05,36.055,36.365002,35.952499,36.005001,33.841377,110871600
2017-04-06,36.072498,36.130001,35.862499,35.915001,33.756786,84596000
2017-04-07,35.932499,36.044998,35.817501,35.834999,33.681587,66688800
2017-04-10,35.900002,35.970001,35.724998,35.7925,33.641647,75733600
2017-04-11,35.735001,35.837502,35.014999,35.407501,33.279789,121517600
2017-04-12,35.400002,35.537498,35.252499,35.450001,33.31974,81400000
2017-04-13,35.477501,35.595001,35.262501,35.262501,33.14349,71291600
2017-04-17,35.369999,35.470001,35.217499,35.4575,33.326778,66328400
2017-04-18,35.352501,35.509998,35.2775,35.299999,33.178753,58790000
2017-04-19,35.470001,35.5,35.112499,35.169998,33.056564,69313600
2017-04-20,35.305,35.73,35.290001,35.610001,33.470119,93278400
2017-04-21,35.610001,35.669998,35.462502,35.567501,33.430168,69283600
2017-04-24,35.875,35.987499,35.794998,35.91,33.75209,68537200
2017-04-25,35.977501,36.224998,35.967499,36.1325,33.961224,75486000
2017-04-26,36.1175,36.150002,35.845001,35.919998,33.761494,80164800
2017-04-27,35.98,36.040001,35.827499,35.947498,33.787334,56985200
2017-04-28,36.022499,36.075001,35.817501,35.912498,33.75444,83441600
2017-05-01,36.275002,36.799999,36.240002,36.645,34.442921,134411600
2017-05-02,36.884998,37.022499,36.709999,36.877499,34.661453,181408800
2017-05-03,36.397499,36.872501,36.067501,36.764999,34.555706,182788000
2017-05-04,36.630001,36.785,36.452499,36.6325,34.431179,93487600
2017-05-05,36.689999,37.244999,36.689999,37.240002,35.002159,109310800
2017-05-08,37.2575,38.424999,37.2575,38.252499,35.953827,195009600
2017-05-09,38.467499,38.720001,38.362499,38.497501,36.184093,156521600
2017-05-10,38.407501,38.485001,38.0275,38.314999,36.012558,103222800
2017-05-11,38.112499,38.517502,38.077499,38.487499,36.32402,109020400
2017-05-12,38.674999,39.105,38.6675,39.025002,36.831303,130108000
2017-05-15,39.002499,39.162498,38.762501,38.924999,36.736919,104038800
2017-05-16,38.985001,39.014999,38.68,38.8675,36.682659,80194000
2017-05-17,38.400002,38.642502,37.427502,37.5625,35.451019,203070800
2017-05-18,37.817501,38.334999,37.782501,38.134998,35.991333,134272800
2017-05-19,38.345001,38.494999,38.157501,38.264999,36.114017,107843200
2017-05-22,38.5,38.645,38.227501,38.497501,36.33345,91865600
2017-05-23,38.724998,38.724998,38.327499,38.450001,36.288631,79675600
2017-05-24,38.459999,38.5425,38.1675,38.334999,36.180092,76712000
2017-05-25,38.432499,38.587502,38.2575,38.467499,36.305138,76942400
2017-05-26,38.5,38.560001,38.327499,38.4025,36.24379,87710400
2017-05-30,38.355,38.607498,38.3325,38.4175,36.25795,80507600
2017-05-31,38.4925,38.5425,38.095001,38.189999,36.04324,97804800
2017-06-01,38.2925,38.3325,38.055,38.294998,36.142326,65616400
2017-06-02,38.395,38.862499,38.2225,38.862499,36.677933,111082800
2017-06-05,38.584999,38.612499,38.365002,38.482498,36.319294,101326800
2017-06-06,38.474998,38.952499,38.445,38.612499,36.441994,106499600
2017-06-07,38.755001,38.994999,38.619999,38.842499,36.659058,84278400
2017-06-08,38.8125,38.884998,38.599998,38.747501,36.569405,85003200
2017-06-09,38.797501,38.797501,36.505001,37.244999,35.151356,259530800
2017-06-13,36.790001,36.862499,36.287498,36.647499,34.587444,136661600
2017-06-14,36.875,36.875,35.959999,36.290001,34.250038,126124800
2017-06-15,35.830002,36.119999,35.552502,36.072498,34.044762,128661600
2017-06-16,35.945,36.125,35.549999,35.567501,33.568153,201444400
2017-06-19,35.915001,36.685001,35.915001,36.584999,34.528461,130165600
2017-06-20,36.717499,36.717499,36.235001,36.252499,34.214649,99600400
2017-06-21,36.380001,36.517502,36.1525,36.467499,34.417564,85063200
2017-06-22,36.442501,36.674999,36.279999,36.407501,34.360943,76425200
2017-06-23,36.282501,36.790001,36.2775,36.57,34.514305,141757600
2017-06-26,36.7925,37.07,36.345001,36.455002,34.405758,102769600
2017-06-27,36.252499,36.540001,35.904999,35.932499,33.912636,99047600
2017-06-28,36.122501,36.5275,35.790001,36.4575,34.408123,88329600
2017-06-29,36.177502,36.282501,35.57,35.919998,33.900845,125997600
2017-06-30,36.112499,36.240002,35.945,36.005001,33.98106,92096400
2017-07-03,36.220001,36.325001,35.775002,35.875,33.858383,57111200
2017-07-05,35.922501,36.197498,35.68,36.022499,33.997585,86278400
2017-07-06,35.755001,35.875,35.602501,35.682499,33.676685,96515200
2017-07-07,35.724998,36.1875,35.724998,36.044998,34.018814,76806800
2017-07-10,36.0275,36.487499,35.842499,36.264999,34.226452,84362400
2017-07-11,36.182499,36.462502,36.095001,36.3825,34.337337,79127200
2017-07-12,36.467499,36.544998,36.205002,36.435001,34.386894,99538000
2017-07-13,36.375,37.122501,36.360001,36.942501,34.865864,100797600
2017-07-14,36.9925,37.3325,36.8325,37.259998,35.16552,80528400
2017-07-17,37.205002,37.724998,37.142502,37.389999,35.288204,95174000
2017-07-18,37.299999,37.532501,37.1675,37.52,35.4109,71475200
2017-07-19,37.619999,37.855,37.487499,37.755001,35.632698,83692000
2017-07-20,37.875,37.935001,37.547501,37.584999,35.472252,68974800
2017-07-21,37.497501,37.610001,37.220001,37.567501,35.455723,105010400
2017-07-24,37.645,38.110001,37.474998,38.022499,35.885155,85972800
2017-07-25,37.950001,38.459999,37.950001,38.185001,36.038521,75415600
2017-07-26,38.337502,38.482498,38.264999,38.365002,36.208405,63124000
2017-07-27,38.4375,38.497501,36.825001,37.639999,35.524162,129905200
2017-07-28,37.4725,37.557499,37.297501,37.375,35.274052,68854800
2017-07-31,37.474998,37.5825,37.032501,37.182499,35.092373,79383600
2017-08-01,37.275002,37.555,37.102501,37.512501,35.403835,141474400
2017-08-03,39.262501,39.302502,38.755001,38.892502,36.706242,108389200
2017-08-04,39.017502,39.349998,38.922501,39.0975,36.899727,82239600
2017-08-07,39.264999,39.73,39.1675,39.702499,37.470715,87481200
2017-08-08,39.650002,40.4575,39.567501,40.02,37.77037,144823600
2017-08-09,39.814999,40.317501,39.7775,40.264999,38.001602,104526000
2017-08-10,39.974998,40.0,38.657501,38.830002,36.791183,163217200
2017-08-11,39.150002,39.642502,39.017502,39.369999,37.302814,105028400
2017-08-14,39.830002,40.052502,39.6875,39.962502,37.864216,88490800
2017-08-15,40.165001,40.549999,40.035,40.400002,38.278744,117862000
2017-08-16,40.485001,40.627499,40.037498,40.237499,38.124767,110686400
2017-08-17,40.130001,40.177502,39.459999,39.465,37.392841,111762400
2017-08-18,39.465,39.875,39.18,39.375,37.307568,109712400
2017-08-21,39.375,39.4725,38.7775,39.302502,37.238873,105474000
2017-08-22,39.557499,40.0,39.505001,39.945,37.847637,86418400
2017-08-23,39.767502,40.1175,39.720001,39.994999,37.895012,77596400
2017-08-24,40.107498,40.185001,39.637501,39.817501,37.72683,79275600
2017-08-25,39.912498,40.139999,39.817501,39.965,37.866577,101920400
2017-08-28,40.035,40.5,39.982498,40.3675,38.247944,103864000
2017-08-29,40.025002,40.779999,40.0,40.727501,38.589054,118067600
2017-08-30,40.950001,40.9725,40.6525,40.837502,38.693287,109078400
2017-08-31,40.91,41.130001,40.869999,41.0,38.84724,107140400
2017-09-01,41.200001,41.235001,40.907501,41.012501,38.859081,66364400
2017-09-05,40.9375,41.0625,40.139999,40.52,38.392441,117874000
2017-09-06,40.677502,40.747501,40.130001,40.477501,38.352177,86606800
2017-09-07,40.522499,40.560001,40.09,40.314999,38.198204,87714000
2017-09-08,40.215,40.287498,39.6325,39.657501,37.575226,114446000
2017-09-11,40.125,40.512501,39.9725,40.375,38.255058,126323200
2017-09-13,39.967499,39.990002,39.477501,39.912498,37.816837,179629600
2017-09-14,39.747501,39.849998,39.522499,39.57,37.492317,95042800
2017-09-15,39.6175,40.2425,39.5,39.970001,37.871315,196458400
2017-09-18,40.0275,40.125,39.5,39.6675,37.584702,113077600
2017-09-19,39.877499,39.942501,39.610001,39.682499,37.598919,83242400
2017-09-20,39.474998,39.564999,38.4575,39.017502,36.968826,211805600
2017-09-21,38.950001,38.950001,38.1875,38.3475,36.334015,150046800
2017-09-22,37.884998,38.067501,37.639999,37.9725,35.978699,186581600
2017-09-25,37.497501,37.9575,37.290001,37.637501,35.661289,177549200
2017-09-26,37.945,38.48,37.922501,38.285,36.274788,146640000
2017-09-27,38.450001,38.68,38.384998,38.557499,36.532978,102016800
2017-09-28,38.4725,38.57,38.174999,38.32,36.307949,88022000
2017-09-29,38.302502,38.532501,38.0,38.529999,36.506927,105199200
2017-10-02,38.564999,38.612499,38.18,38.452499,36.433495,74795200
2017-10-03,38.502499,38.772499,38.477501,38.619999,36.592205,64921200
2017-10-04,38.407501,38.465,38.115002,38.369999,36.355324,80655200
2017-10-05,38.544998,38.860001,38.512501,38.8475,36.807758,85135200
2017-10-06,38.7425,38.872501,38.639999,38.825001,36.786434,69630400
2017-10-09,38.952499,39.182499,38.872501,38.959999,36.914349,65051600
2017-10-10,39.014999,39.5,38.775002,38.974998,36.928566,62468000
2017-10-11,38.9925,39.244999,38.9375,39.137501,37.082535,67622400
2017-10-12,39.087502,39.342499,38.932499,39.0,36.952255,64500400
2017-10-13,39.182499,39.32,39.102501,39.247501,37.18676,65576800
2017-10-16,39.474998,40.0,39.412498,39.970001,37.871315,96486000
2017-10-17,39.945,40.217499,39.807499,40.1175,38.011086,75989200
2017-10-18,40.105,40.177502,39.900002,39.939999,37.842899,65496800
2017-10-19,39.1875,39.27,38.755001,38.994999,36.947514,170336800
2017-10-20,39.1525,39.4375,38.990002,39.0625,37.011475,95896400
2017-10-23,39.2225,39.422501,38.875,39.0425,36.992523,87937200
2017-10-24,39.072498,39.355,39.049999,39.275002,37.212811,71028800
2017-10-25,39.227501,39.387501,38.817501,39.102501,37.04937,84828400
2017-10-26,39.307499,39.4575,39.195,39.352501,37.286236,68002000
2017-10-27,39.822498,40.900002,39.674999,40.762501,38.622204,177816800
2017-10-30,40.9725,42.017502,40.93,41.68,39.491543,178803200
2017-10-31,41.974998,42.412498,41.735001,42.259998,40.041084,144187200
